liquor_names,alcohol_contents
Vodka,40
Gin,40
Triple Sec,40
Tequila,40
Dry Vermouth,40
Coffee Liqueur,40
Champagne,12.2
Bourbon Whiskey,40
Brandy,60
Dark Rum,40
Sweet Vermouth,18
Amaretto,28
Light Rum,40
Irish Cream Liqueur,17
Blue Curacao,40
Absinthe,74
White Rum,40
Melon Liqueur,21
Rum,40
Apricot Brandy,35
Black Raspberry Liqueur,16.5
Scotch Whiskey,40
Irish Whiskey,40
Grand Marnier,40
White Crème de Cacao,25
Peach Schnapps,24
Rye Whiskey,51
Cherry Brandy,40
Whiskey,40
Coconut Rum,21
Cachaca,48
Peppermint Schnapps,50
Citrus Vodka,40
Campari,20.5
Crème de Cassis,15
Jägermeister,35
Cognac,40
Red Wine,15
Sake,16
Orange Liqueur,40
White Wine,10
Benedictine,40
Galliano,42.3
Sweet Red Vermouth,18
Green Crème de Menthe,25
Southern Comfort,35
Orange Curaçao,40
Maraschino Liqueur,32
Vanilla Vodka,35
151 Proof Rum,75.5
Crème de Cacao,24
Beer,4.5
Yellow Chartreuse,40
Raspberry Vodka,35
Banana Liqueur,25
Stout Beer,7
Ginger Liqueur,28
Tennessee Whiskey,40
Spiced Rum,35
Crème de Mure,16
Frangelico,20
Canadian Whiskey,40
Limoncello,28
Citron Vodka,40
Sloe Gin,30
Crème de Banane,25
Goldschlager,43.5
Dark Crème de Cacao,25
Premium Vodka,40
Apple Brandy,60
Plymouth Gin,41.2
Drambuie,40
Sherry,18
Green Chartreuse,55
White Crème de Menthe,25
Raspberry Liqueur,16.5
Port,20
Hazelnut Liqueur,20
Pomegranate Liqueur,17
Peach Liqueur,0
AppleJack,0
Pastis,0
Prosecco,0
Gold Rum,0
Lillet Blanc,0
Cinnamon Schnapps,0
Dry Sherry,0
Silver Tequila,0
Sparkling Wine,0
Blackberry Brandy,0
Dubonnet Rouge,0
Apple Whiskey,0
Sambuca,0
Pear Vodka,0
Hpnotiq Liqueur,0
Amarula Cream,0
Añejo Rum,0
Apple Vodka,0
Orange Vodka,0
Elderflower Liqueur,0
Blavod Black Vodka,0
Blanco Tequila,0
Pomegranate Vodka,0
Pineapple Vodka,0
Falernum,0
Calvados,0
Lychee Liqueur,0
Honey Liqueur,0
Mekhong,0
Gold Tequila,0
Crème de Menthe,0
Chambord,0
Orange Bitters,0
Chocolate Liqueur,0
Crème de Noyaux,0
Leblon Cachaca,0
Bourbon,0
Premium Gin,0
White Sambuca,0
Coconut Vodka,0
Blueberry Vodka,0
Blavod Vodka,0
Black Cherry Vodka,0
Jack Daniels,0
Pale Ale Beer,0
Irish Mist Liqueur,0
Lemon Vodka,0
Butterscotch Schnapps,0
Premium Tequila,0
Ruby Port,0
Cream Liqueur,0
Cruzan Blackstrap Rum,0
Ouzo,0
Amber Rum,0
Peach Brandy,0
Blackberry Liqueur,0
Sour Apple Schnapps,0
Hpnotiq,0
Espresso Vodka,0
Strega Liqueur,0
Advocaat,0
Kahlúa,0
Mango Liqueur,0
Pisco,0
Mango Vodka,0
Melon Vodka,0
Averna Liqueur,0
Canadian Mist Whiskey,0
Xante,0
Cherry Heering,0
Fernet Branca,0
Rosé Wine,0
Crown Royal Whiskey,0
Dubonnet,0
Dark Jamaican Rum,0
White Chocolate Liqueur,0
Green Tea Vodka,0
Blood Orange Vodka,0
Aperol Orange Liqueur,0
Apple Schnapps,0
Crème de Violette,0
Orange Cognac,0
Rose Champagne,0
Barenjager,0
Agavero,0
Bitters,0
Black Bush Irish Whiskey,0
Black Sambuca,0
Black Haus,0
Tequila Rose,0
Blood Orange Liqueur,0
Cabernet Sauvignon,0
Akvavit,0
Bacon Vodka,0
Arak,0
Cypriot Brandy,0
Spanish Brandy,0
Peppermint Liqueur,0
Licor 43,0
Bushmills Irish Whiskey,0
Steinhäger,0
Licor Beirão,0
Blue WKD,0
Brut Rose Sparkling Wine,0
Cranberry Liqueur,0
Chocolate Mint Liqueur,0
Armagnac,0
Peach Vodka,0
Framboise Liqueur,0
Everclear,0
Wild Turkey,0
Dry Gin,0
Elderflower Liqueur,0
Guava Rum,0
VSOP Cognac,0
Gingerbread Liqueur,0
White Port,0
Lemon Liqueur,0
Gran Gala,0
Tuaca,0
Cherry Liqueur,0
Mint Chocolate Irish Cream Liqueur,0
Stout Head,0
Plum Brandy,0
Jaloviina,0
Jamaican Dark Rum,0
Breton Cider,0
Normandy Cider,0
Punt e Mes,0
Cider,0
Cocoa Liqueur,0
Torani Amer,0
White Tequila,0
Mint Schnapps,0
Mezcal,0
Coffee Vodka,0
Anisette Liqueur,0
Liebfraumilch,0
Red Grapefruit Liqueur,0
Sweet White Wine,0
Mint Liqueur,0
Merlot,0
Red Vermouth,0
Orange Flavoured Liqueur,0
Blueberry Liqueur,0
Vermouth,0
Red Raspberry Vodka,0
Vanilla Liqueur,0
Limon Rum,0
Kümmel,0
Royal Combier,0
Tawny Port,0
Barbados Rum,0
Black Seal Rum,0
Fraise de Bois Liqueur,0
Seagrams Seven Crown Whiskey,0
Caramel Vodka,0
Blackberry Rum,0
Pineapple Coconut Liqueur,0
Lillet,0
Swedish Punsch,0
Rhum Agricole,0
Chocolate Vodka,0
Cava,0
Kina Lillet,0
Tia Maria,0
EggNog,0
Jameson Whiskey,0
Pimento Dram,0
Dry Red Wine,0
Green Tea Liqueur,0
Golden Rum,0
Pepper Vodka,0
Demerara Rum,0
Parfait D'Armour,0
Passion Fruit Liqueur,0
Strawberry Liqueur,0
Black Raspberry Vodka,0
Other Base,0